"name","Population","Parent","Count","ParentCount","Percent_Parent"
"00_SEB.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD4-CD8-",0,703,0
"00_SEB.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD4-CD8-",5,703,0.01
"00_SEB.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD4-CD8-",1,703,0
"00_SEB.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD4-CD8-",697,703,0.99
"00_SEB.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD8+","/Scatter/Singlets/Live/Tcells",2721,9359,0.29
"00_SEB.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD8+/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD8+",10,2721,0
"00_SEB.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD8+/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD8+",13,2721,0
"00_SEB.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD8+/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD8+",59,2721,0.02
"00_SEB.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD8+/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD8+",2639,2721,0.97
"00_SEB.fcs_INF100","/Scatter","root",10000,10000,1
"00_SEB.fcs_INF100","/Scatter/Singlets","/Scatter",10000,10000,1
"00_SEB.fcs_INF100","/Scatter/Singlets/Live","/Scatter/Singlets",9964,10000,1
"00_SEB.fcs_INF100","/Scatter/Singlets/Live/Tcells","/Scatter/Singlets/Live",9790,9964,0.98
"00_SEB.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4+","/Scatter/Singlets/Live/Tcells",5852,9790,0.6
"00_SEB.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4+/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD4+",2,5852,0
"00_SEB.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4+/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD4+",550,5852,0.09
"00_SEB.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4+/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD4+",31,5852,0.01
"00_SEB.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4+/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD4+",5269,5852,0.9
